,D,T,G
51454,987.9618072289157,1687.8566265060242,-2894403.224224091
51455,987.9618072289157,1694.7909236947792,-2923237.4384867135
51456,987.9618072289157,1701.7252208835341,-2952170.668803345
51457,987.9618072289157,1708.6595180722893,-2981202.503310397
51458,987.9618072289157,1715.5938152610443,-3010332.53347761
51459,987.9618072289157,1722.5281124497992,-3039560.3540674304
51460,987.9618072289157,1729.4624096385544,-3068885.563095129
51461,987.9618072289157,1736.3967068273093,-3098307.761789434
51462,987.9618072289157,1743.3310040160643,-3127826.554553937
51463,987.9618072289157,1750.2653012048193,-3157441.548928956
51464,987.9618072289157,1757.1995983935744,-3187152.355554125
51465,987.9618072289157,1764.1338955823294,-3216958.5881314916
51466,987.9618072289157,1771.0681927710843,-3246859.8633892136
51467,987.9618072289157,1778.0024899598395,-3276855.8010458793
51468,987.9618072289157,1784.9367871485945,-3306946.023775277
51469,987.9618072289157,1791.8710843373494,-3337130.1571718077
51470,987.9618072289157,1798.8053815261044,-3367407.829716418
51471,987.9618072289157,1805.7396787148596,-3397778.672743003
51472,987.9618072289157,1812.6739759036145,-3428242.3204053896
51473,987.9618072289157,1819.6082730923695,-3458798.4096448217
51474,987.9618072289157,1826.5425702811247,-3489446.580157917
51475,987.9618072289157,1833.4768674698796,-3520186.474365123
51476,987.9618072289157,1840.4111646586346,-3551017.737379682
51477,987.9618072289157,1847.3454618473897,-3581940.016977018
51478,987.9618072289157,1854.2797590361447,-3612952.9635646585
51479,987.9618072289157,1861.2140562248997,-3644056.230152541
51480,987.9618072289157,1868.1483534136546,-3675249.472323786
51481,987.9618072289157,1875.0826506024098,-3706532.3482059888
51482,987.9618072289157,1882.0169477911647,-3737904.518442772
51483,987.9618072289157,1888.9512449799197,-3769365.6461659754
51484,987.9618072289157,1895.8855421686749,-3800915.396968053
51485,987.9618072289157,1902.8198393574298,-3832553.438875058
51486,987.9618072289157,1909.7541365461848,-3864279.44231989
51487,987.9618072289157,1916.6884337349397,-3896093.0801160405
51488,987.9618072289157,1923.622730923695,-3927994.027431647
51489,987.9618072289157,1930.5570281124499,-3959981.9617639715
51490,987.9618072289157,1937.4913253012048,-3992056.5629142458
51491,987.9618072289157,1944.42562248996,-4024217.5129628726
51492,987.9618072289157,1951.359919678715,-4056464.49624499
51493,987.9618072289157,1958.29421686747,-4088797.199326407
51494,987.9618072289157,1965.2285140562249,-4121215.3109798534
51495,987.9618072289157,1972.16281124498,-4153718.522161598
51496,987.9618072289157,1979.097108433735,-4186306.5259883814
51497,987.9618072289157,1986.03140562249,-4218979.017714728
51498,987.9618072289157,1992.9657028112451,-4251735.694710479
51499,987.9618072289157,1999.9,-4284576.256438778
51501,992.7810843373495,280.19429718875506,-377.32053332314723
51502,992.7810843373495,287.12859437751007,-1476.0985362099318
51503,992.7810843373495,294.0628915662651,-3276.407780328394
51504,992.7810843373495,300.99718875502015,-5760.540779148344
51505,992.7810843373495,307.93148594377516,-8912.069878084103
51506,992.7810843373495,314.86578313253017,-9779.600541895683
51507,992.7810843373495,321.8000803212852,-7388.069998027477
51508,992.7810843373495,328.7343775100402,-4731.231129200116
51509,992.7810843373495,335.66867469879526,-1876.9207691145696
51510,992.7810843373495,342.60297188755027,1115.1429774233482
51511,992.7810843373495,349.5372690763053,4192.658697427539
51512,992.7810843373495,356.4715662650603,7310.002254138385
51513,992.7810843373495,363.4058634538153,10427.493182533137
51514,992.7810843373495,370.34016064257037,13510.695172062817
51515,992.7810843373495,377.2744578313253,16529.76749114947
51516,992.7810843373495,384.2087550200804,19458.875901946798
51517,992.7810843373495,391.1430522088354,22275.665851226957
51518,992.7810843373495,398.0773493975904,24960.796924417704
51519,992.7810843373495,405.0116465863455,27497.535201555624
51520,992.7810843373495,411.94594377510043,29871.39884187594
51521,992.7810843373495,418.8802409638555,32069.851624816947
51522,992.7810843373495,425.8145381526105,34082.039049277926
51523,992.7810843373495,432.7488353413655,35898.561765811595
51524,992.7810843373495,439.68313253012053,37511.28146443352
51525,992.7810843373495,446.61742971887554,38913.15477989287
51526,992.7810843373495,453.5517269076306,40098.091250198675
51527,992.7810843373495,460.48602409638556,41060.831836154684
51528,992.7810843373495,467.42032128514063,41796.8449595605
51529,992.7810843373495,474.35461847389564,42302.23743050543
51530,992.7810843373495,481.28891566265065,42573.67800769494
51531,992.7810843373495,488.2232128514057,42608.33166521479
51532,992.7810843373495,495.1575100401607,42403.80292840959
51533,992.7810843373495,502.09180722891574,41958.08689145123
