,T,P,G
323,280.19429718875506,293173123.13873476,276802.8271307865
324,280.19429718875506,297189184.93851465,280427.4211649265
325,280.19429718875506,301205246.7382946,284048.3499400349
326,280.19429718875506,305221308.5380745,287665.6417471683
327,280.19429718875506,309237370.33785444,291279.32445058675
328,280.19429718875506,313253432.13763434,294889.4254969029
329,280.19429718875506,317269493.9374142,298495.9719238596
330,280.19429718875506,321285555.7371942,302098.99036829756
331,280.19429718875506,325301617.5369741,305698.5070749666
332,280.19429718875506,329317679.336754,309294.54790397256
333,280.19429718875506,333333741.1365339,312887.1383391836
334,280.19429718875506,337349802.9363138,316476.30349568895
335,280.19429718875506,341365864.73609376,320062.06812727795
336,280.19429718875506,345381926.53587365,323644.4566339258
337,280.19429718875506,349397988.3356536,327223.49306885956
338,280.19429718875506,353414050.1354335,330799.20114567043
339,280.19429718875506,357430111.9352134,334371.60424502596
340,280.19429718875506,361446173.73499334,337940.72542147856
341,280.19429718875506,365462235.53477323,341506.58741004963
342,280.19429718875506,369478297.3345532,345069.21263242763
343,280.19429718875506,373494359.1343331,348628.6232033555
344,280.19429718875506,377510420.93411297,352184.8409366038
345,280.19429718875506,381526482.7338929,355737.8873511806
346,280.19429718875506,385542544.5336728,359287.7836766447
347,280.19429718875506,389558606.33345276,362834.550859325
348,280.19429718875506,393574668.13323265,366378.2095676144
349,280.19429718875506,397590729.93301255,369918.78019722574
350,280.19429718875506,401606791.7327925,373456.2828767807
351,280.19429718875506,405622853.5325724,376990.73747272615
352,280.19429718875506,409638915.33235234,380522.1635945968
353,280.19429718875506,413654977.13213223,384050.58059974393
354,280.19429718875506,417671038.9319121,387576.00759825786
355,280.19429718875506,421687100.7316921,391098.46345759236
356,280.19429718875506,425703162.53147197,394617.9668072481
357,280.19429718875506,429719224.3312519,398134.536043214
358,280.19429718875506,433735286.1310318,401648.1893322735
359,280.19429718875506,437751347.9308117,405158.94461637456
360,280.19429718875506,441767409.73059165,408666.81961680227
361,280.19429718875506,445783471.53037155,412171.8318382256
362,280.19429718875506,449799533.3301515,415673.99857274
363,280.19429718875506,453815595.1299314,419173.3369036192
364,280.19429718875506,457831656.9297113,422669.86370943714
365,280.19429718875506,461847718.72949123,426163.59566730616
366,280.19429718875506,465863780.5292711,429654.5492570182
367,280.19429718875506,469879842.3290511,433142.74076437484
368,280.19429718875506,473895904.12883097,436628.1862845022
369,280.19429718875506,477911965.92861086,440110.9017256042
370,280.19429718875506,481928027.7283908,443590.90281182755
371,280.19429718875506,485944089.5281707,447068.20508711477
372,280.19429718875506,489960151.32795066,450542.8239176928
373,280.19429718875506,493976213.12773055,454014.77449571603
