,T,P,U
318,280.19429718875506,273092814.1398352,20936.0879283873
319,280.19429718875506,277108875.9396151,20793.563193226517
320,280.19429718875506,281124937.739395,20651.722963830707
321,280.19429718875506,285140999.5391749,20510.589548114778
322,280.19429718875506,289157061.33895487,20370.18425549519
323,280.19429718875506,293173123.13873476,20230.527427498386
324,280.19429718875506,297189184.93851465,20091.638467354354
325,280.19429718875506,301205246.7382946,19953.53586937375
326,280.19429718875506,305221308.5380745,19816.237247097157
327,280.19429718875506,309237370.33785444,19679.759361298213
328,280.19429718875506,313253432.13763434,19544.11814712731
329,280.19429718875506,317269493.9374142,19409.328740218418
330,280.19429718875506,321285555.7371942,19275.405502913716
331,280.19429718875506,325301617.5369741,19142.362048996136
332,280.19429718875506,329317679.336754,19010.21126836279
333,280.19429718875506,333333741.1365339,18878.965350695733
334,280.19429718875506,337349802.9363138,18748.635808640425
335,280.19429718875506,341365864.73609376,18619.233500335922
336,280.19429718875506,345381926.53587365,18490.768651266004
337,280.19429718875506,349397988.3356536,18363.25087547133
338,280.19429718875506,353414050.1354335,18236.689196356037
339,280.19429718875506,357430111.9352134,18111.092066516325
340,280.19429718875506,361446173.73499334,17986.467387447035
341,280.19429718875506,365462235.53477323,17862.822528264434
342,280.19429718875506,369478297.3345532,17740.164344121018
343,280.19429718875506,373494359.1343331,17618.49919402668
344,280.19429718875506,377510420.93411297,17497.83295801819
345,280.19429718875506,381526482.7338929,17378.171053924376
346,280.19429718875506,385542544.5336728,17259.51845369476
347,280.19429718875506,389558606.33345276,17141.879698953355
348,280.19429718875506,393574668.13323265,17025.258916350613
349,280.19429718875506,397590729.93301255,16909.659832312736
350,280.19429718875506,401606791.7327925,16795.085787317243
351,280.19429718875506,405622853.5325724,16681.53974983669
352,280.19429718875506,409638915.33235234,16569.024329682146
353,280.19429718875506,413654977.13213223,16457.541791054096
354,280.19429718875506,417671038.9319121,16347.094065114547
355,280.19429718875506,421687100.7316921,16237.68276224564
356,280.19429718875506,425703162.53147197,16129.309183779045
357,280.19429718875506,429719224.3312519,16021.974333473927
358,280.19429718875506,433735286.1310318,15915.678928601264
359,280.19429718875506,437751347.9308117,15810.423410560818
360,280.19429718875506,441767409.73059165,15706.207955435719
361,280.19429718875506,445783471.53037155,15603.032483836505
362,280.19429718875506,449799533.3301515,15500.896670722293
363,280.19429718875506,453815595.1299314,15399.799954803968
364,280.19429718875506,457831656.9297113,15299.741547566146
365,280.19429718875506,461847718.72949123,15200.720442167443
366,280.19429718875506,465863780.5292711,15102.735421890311
367,280.19429718875506,469879842.3290511,15005.785068344203
368,280.19429718875506,473895904.12883097,14909.867769596329
369,280.19429718875506,477911965.92861086,14814.981727694969
370,280.19429718875506,481928027.7283908,14721.12496628485
371,280.19429718875506,485944089.5281707,14628.29533768696
372,280.19429718875506,489960151.32795066,14536.490529991384
