,T,P,U
33962,1487.4269406392696,374429606.40277505,3994203.8570159255
33963,1487.4269406392696,378995813.6545796,3990505.1052296725
33964,1487.4269406392696,383562020.90638417,3986848.7254914027
33965,1487.4269406392696,388128228.1581887,3983233.972582726
33966,1487.4269406392696,392694435.4099933,3979660.1167842965
33967,1487.4269406392696,397260642.6617978,3976126.4439890427
33968,1487.4269406392696,401826849.9136024,3972632.255762352
33969,1487.4269406392696,406393057.16540694,3969176.869353579
33970,1487.4269406392696,410959264.41721153,3965759.6176630748
33971,1487.4269406392696,415525471.66901606,3962379.8491687775
33972,1487.4269406392696,420091678.92082065,3959036.9278162443
33973,1487.4269406392696,424657886.1726252,3955730.2328757504
33974,1487.4269406392696,429224093.4244298,3952459.1587699573
33975,1487.4269406392696,433790300.6762343,3949223.1148754
33976,1487.4269406392696,438356507.9280389,3946021.525300866
33977,1487.4269406392696,442922715.1798435,3942853.8286455246
33978,1487.4269406392696,447488922.431648,3939719.4777394943
33979,1487.4269406392696,452055129.6834526,3936617.9393693022
33980,1487.4269406392696,456621336.93525714,3933548.6939905705
33981,1487.4269406392696,461187544.1870617,3930511.2354300166
33982,1487.4269406392696,465753751.43886626,3927505.070578738
33983,1487.4269406392696,470319958.69067085,3924529.7190785734
33984,1487.4269406392696,474886165.9424754,3921584.7130031753
33985,1487.4269406392696,479452373.19427997,3918669.5965352943
33986,1487.4269406392696,484018580.4460845,3915783.925641635
33987,1487.4269406392696,488584787.6978891,3912927.267746506
33988,1487.4269406392696,493150994.9496936,3910099.2014054134
33989,1487.4269406392696,497717202.2014982,3907299.315979569
33990,1487.4269406392696,502283409.45330274,3904527.211312228
33991,1487.4269406392696,506849616.70510733,3901782.4974076813
33992,1487.4269406392696,511415823.9569119,3899064.794113591
33993,1487.4269406392696,515982031.20871645,3896373.7308073314
33994,1487.4269406392696,520548238.46052104,3893708.9460868915
33995,1487.4269406392696,525114445.7123256,3891070.0874668397
33996,1487.4269406392696,529680652.96413016,3888456.811079753
33997,1487.4269406392696,534246860.2159347,3885868.7813835293
33998,1487.4269406392696,538813067.4677392,3883305.670874858
33999,1487.4269406392696,543379274.7195438,3880767.1598091437
34000,1487.4269406392696,547945481.9713484,3878252.935927095
34001,1487.4269406392696,552511689.223153,3875762.694188178
34002,1487.4269406392696,557077896.4749575,3873296.1365110567
34003,1487.4269406392696,561644103.726762,3870852.9715211573
34004,1487.4269406392696,566210310.9785666,3868432.9143054252
34005,1487.4269406392696,570776518.2303712,3866035.686174335
34006,1487.4269406392696,575342725.4821757,3863661.01443117
34007,1487.4269406392696,579908932.7339803,3861308.6321486
34008,1487.4269406392696,584475139.9857849,3858978.2779525155
34009,1487.4269406392696,589041347.2375895,3856669.695813109
34010,1487.4269406392696,593607554.4893941,3854382.6348431315
34011,1487.4269406392696,598173761.7411985,3852116.8491032785
34012,1487.4269406392696,602739968.9930031,3849872.0974145993
34013,1487.4269406392696,607306176.2448077,3847648.14317787
34014,1487.4269406392696,611872383.4966123,3845444.7541998085
34015,1487.4269406392696,616438590.7484168,3843261.7025260036
34016,1487.4269406392696,621004798.0002214,3841098.7642804813
34017,1487.4269406392696,625571005.252026,3838955.7195117255
34018,1487.4269406392696,630137212.5038306,3836832.3520450676
34019,1487.4269406392696,634703419.755635,3834728.4493412655
34020,1487.4269406392696,639269627.0074396,3832643.8023611405
34021,1487.4269406392696,643835834.2592442,3830578.2054361254
34022,1487.4269406392696,648402041.5110488,3828531.4561445653
34023,1487.4269406392696,652968248.7628533,3826503.3551936084
34024,1487.4269406392696,657534456.0146579,3824493.706306532
34025,1487.4269406392696,662100663.2664624,3822502.316115347
34026,1487.4269406392696,666666870.518267,3820528.9940585014
34027,1487.4269406392696,671233077.7700716,3818573.5522835474
34028,1487.4269406392696,675799285.0218761,3816635.805554568
34029,1487.4269406392696,680365492.2736807,3814715.571164248
34030,1487.4269406392696,684931699.5254853,3812812.6688503763
34031,1487.4269406392696,689497906.7772899,3810926.920716661
34032,1487.4269406392696,694064114.0290943,3809058.151157654
34033,1487.4269406392696,698630321.2808989,3807206.186787665
34034,1487.4269406392696,703196528.5327035,3805370.856373481
34035,1487.4269406392696,707762735.7845081,3803551.9907707325
34036,1487.4269406392696,712328943.0363126,3801749.422863777
34037,1487.4269406392696,716895150.2881172,3799962.9875089284
34038,1487.4269406392696,721461357.5399218,3798192.5214808793
34039,1487.4269406392696,726027564.7917264,3796437.8634221884
34040,1487.4269406392696,730593772.0435308,3794698.85379568
34041,1487.4269406392696,735159979.2953354,3792975.3348396155
34042,1487.4269406392696,739726186.54714,3791267.150525497
34043,1487.4269406392696,744292393.7989446,3789574.1465183874
34044,1487.4269406392696,748858601.0507492,3787896.1701395945
34045,1487.4269406392696,753424808.3025537,3786233.070331612
34046,1487.4269406392696,757991015.5543582,3784584.6976251877
34047,1487.4269406392696,762557222.8061628,3782950.9041083925
34048,1487.4269406392696,767123430.0579674,3781331.5433976
34049,1487.4269406392696,771689637.3097719,3779726.4706102503
34050,1487.4269406392696,776255844.5615765,3778135.5423392714
34051,1487.4269406392696,780822051.8133811,3776558.616629111
34052,1487.4269406392696,785388259.0651857,3774995.5529532237
34053,1487.4269406392696,789954466.3169901,3773446.2121929424
34054,1487.4269406392696,794520673.5687947,3771910.4566176566
34055,1487.4269406392696,799086880.8205993,3770388.1498661856
34056,1487.4269406392696,803653088.0724039,3768879.1569292685
34057,1487.4269406392696,808219295.3242085,3767383.3441331163
34058,1487.4269406392696,812785502.576013,3765900.579123909
34059,1487.4269406392696,817351709.8278176,3764430.7308532074
34060,1487.4269406392696,821917917.0796221,3762973.6695641726
34061,1487.4269406392696,826484124.3314267,3761529.2667785585
34062,1487.4269406392696,831050331.5832312,3760097.395284398
34063,1487.4269406392696,835616538.8350358,3758677.929124334
34064,1487.4269406392696,840182746.0868404,3757270.7435845174
34065,1487.4269406392696,844748953.338645,3755875.715184074
34066,1487.4269406392696,849315160.5904495,3754492.721665003
34067,1487.4269406392696,853881367.842254,3753121.641982568
34068,1487.4269406392696,858447575.0940586,3751762.3562960303
34069,1487.4269406392696,863013782.3458632,3750414.7459597755
34070,1487.4269406392696,867579989.5976677,3749078.6935147205
34071,1487.4269406392696,872146196.8494723,3747754.0826800233
34072,1487.4269406392696,876712404.1012769,3746440.795828705
