,T,D,S
21828,1953.5472483221479,628.1979194630873,6651.581170096907
21829,1953.5472483221479,636.2516107382551,6638.471334189062
21830,1953.5472483221479,644.3053020134229,6625.421747797334
21831,1953.5472483221479,652.3589932885907,6612.431104977578
21832,1953.5472483221479,660.4126845637585,6599.498077123361
21833,1953.5472483221479,668.4663758389262,6586.621308361209
21834,1953.5472483221479,676.520067114094,6573.799412275393
21835,1953.5472483221479,684.5737583892618,6561.030969918167
21836,1953.5472483221479,692.6274496644296,6548.314529045888
21837,1953.5472483221479,700.6811409395974,6535.648604507537
21838,1953.5472483221479,708.7348322147652,6523.031679699682
21839,1953.5472483221479,716.7885234899329,6510.462208991359
21840,1953.5472483221479,724.8422147651007,6497.9386210136745
21841,1953.5472483221479,732.8959060402685,6485.459322702295
21842,1953.5472483221479,740.9495973154363,6473.022703976482
21843,1953.5472483221479,749.0032885906041,6460.62714293581
21844,1953.5472483221479,757.0569798657718,6448.271011455286
21845,1953.5472483221479,765.1106711409396,6435.952681061067
21846,1953.5472483221479,773.1643624161075,6423.670528972266
21847,1953.5472483221479,781.2180536912753,6411.422944199257
21848,1953.5472483221479,789.2717449664431,6399.208333595313
21849,1953.5472483221479,797.3254362416108,6387.025127766111
21850,1953.5472483221479,805.3791275167786,6374.8717867502855
21851,1953.5472483221479,813.4328187919464,6362.746805393878
21852,1953.5472483221479,821.4865100671142,6350.648718351608
21853,1953.5472483221479,829.540201342282,6338.576104658456
21854,1953.5472483221479,837.5938926174497,6326.527591825837
21855,1953.5472483221479,845.6475838926175,6314.501859427187
21856,1953.5472483221479,853.7012751677853,6302.4976421484525
21857,1953.5472483221479,861.7549664429531,6290.513732288825
21858,1953.5472483221479,869.8086577181209,6278.548981706827
21859,1953.5472483221479,877.8623489932887,6266.602303215564
21860,1953.5472483221479,885.9160402684564,6254.67267143918
21861,1953.5472483221479,893.9697315436242,6242.759123149767
21862,1953.5472483221479,902.023422818792,6230.860757110373
21863,1953.5472483221479,910.0771140939598,6218.976733455103
21864,1953.5472483221479,918.1308053691276,6207.106272641877
21865,1953.5472483221479,926.1844966442953,6195.248654016819
21866,1953.5472483221479,934.2381879194631,6183.403214031856
21867,1953.5472483221479,942.291879194631,6171.56934415885
21868,1953.5472483221479,950.3455704697988,6159.746488544332
21869,1953.5472483221479,958.3992617449666,6147.934141449064
21870,1953.5472483221479,966.4529530201344,6136.131844515972
21871,1953.5472483221479,974.5066442953021,6124.339183908751
21872,1953.5472483221479,982.5603355704699,6112.555787361581
21873,1953.5472483221479,990.6140268456377,6100.781321178191
21874,1953.5472483221479,998.6677181208055,6089.015487215802
21875,1953.5472483221479,1006.7214093959733,6077.258019886515
21876,1953.5472483221479,1014.775100671141,6065.50868320562
21877,1953.5472483221479,1022.8287919463088,6053.767267912902
21878,1953.5472483221479,1030.8824832214766,6042.033588689711
21879,1953.5472483221479,1038.9361744966443,6030.307481491166
21880,1953.5472483221479,1046.9898657718122,6018.588801009504
21881,1953.5472483221479,1055.04355704698,6006.877418281412
21882,1953.5472483221479,1063.0972483221478,5995.173218449045
21883,1953.5472483221479,1071.1509395973155,5983.476098681557
21884,1953.5472483221479,1079.2046308724832,5971.785966261296
21885,1953.5472483221479,1087.2583221476511,5960.102736836285
21886,1953.5472483221479,1095.3120134228188,5948.426332838474
21887,1953.5472483221479,1103.3657046979868,5936.756682065227
21888,1953.5472483221479,1111.4193959731545,5925.093716419794
21889,1953.5472483221479,1119.4730872483221,5913.437370805101
21890,1953.5472483221479,1127.52677852349,5901.787582163933
21891,1953.5472483221479,1135.5804697986578,5890.144288657636
21892,1953.5472483221479,1143.6341610738257,5878.507428974745
21893,1953.5472483221479,1151.6878523489934,5866.876941760325
21894,1953.5472483221479,1159.741543624161,5855.252765156557
21895,1953.5472483221479,1167.795234899329,5843.6348364448595
21896,1953.5472483221479,1175.8489261744967,5832.023091779898
21897,1953.5472483221479,1183.9026174496646,5820.4174660058225
21898,1953.5472483221479,1191.9563087248323,5808.817892545483
21899,1953.5472483221479,1200.01,5797.224303353556
21900,1965.135436241611,0.01,12240.84544090399
21901,1965.135436241611,8.063691275167786,9147.154986438565
21902,1965.135436241611,16.117382550335574,8822.5539798506
21903,1965.135436241611,24.17107382550336,8630.507053432555
21904,1965.135436241611,32.22476510067114,8492.745826066419
21905,1965.135436241611,40.27845637583893,8384.725610817088
21906,1965.135436241611,48.332147651006714,8295.510313044133
21907,1965.135436241611,56.3858389261745,8219.265250261982
21908,1965.135436241611,64.4395302013423,8152.507201124338
21909,1965.135436241611,72.49322147651007,8092.98919259328
21910,1965.135436241611,80.54691275167787,8039.176872195561
21911,1965.135436241611,88.60060402684566,7989.975756026642
21912,1965.135436241611,96.65429530201344,7944.5776473599635
21913,1965.135436241611,104.70798657718122,7902.3687354539115
21914,1965.135436241611,112.76167785234901,7862.871846488044
21915,1965.135436241611,120.8153691275168,7825.708664842565
21916,1965.135436241611,128.86906040268457,7790.574170899002
21917,1965.135436241611,136.92275167785235,7757.2188413334225
21918,1965.135436241611,144.97644295302013,7725.43594433696
21919,1965.135436241611,153.03013422818793,7695.052273964055
21920,1965.135436241611,161.0838255033557,7665.921263462782
21921,1965.135436241611,169.1375167785235,7637.917780134776
21922,1965.135436241611,177.1912080536913,7610.93413174617
21923,1965.135436241611,185.24489932885908,7584.876960964418
21924,1965.135436241611,193.29859060402686,7559.6648008153825
21925,1965.135436241611,201.35228187919463,7535.226129114398
21926,1965.135436241611,209.4059731543624,7511.497804379775
21927,1965.135436241611,217.45966442953022,7488.4237968264215
21928,1965.135436241611,225.513355704698,7465.954150073114
21929,1965.135436241611,233.56704697986578,7444.04412504094
21930,1965.135436241611,241.6207382550336,7422.653489063067
21931,1965.135436241611,249.67442953020137,7401.745921737146
21932,1965.135436241611,257.72812080536914,7381.288515397363
21933,1965.135436241611,265.78181208053695,7361.251352863147
21934,1965.135436241611,273.8355033557047,7341.607148755924
21935,1965.135436241611,281.8891946308725,7322.330943462774
21936,1965.135436241611,289.94288590604026,7303.399840980735
21937,1965.135436241611,297.99657718120807,7284.792783553514
21938,1965.135436241611,306.0502684563759,7266.490357327891
21939,1965.135436241611,314.1039597315436,7248.474624294722
21940,1965.135436241611,322.15765100671143,7230.728976602809
21941,1965.135436241611,330.21134228187924,7213.238009990491
21942,1965.135436241611,338.265033557047,7195.987413606503
21943,1965.135436241611,346.3187248322148,7178.963873916192
21944,1965.135436241611,354.3724161073826,7162.154990733301
21945,1965.135436241611,362.42610738255036,7145.549203698239
21946,1965.135436241611,370.47979865771816,7129.135727754215
21947,1965.135436241611,378.5334899328859,7112.9044963633105
21948,1965.135436241611,386.5871812080537,7096.84611136391
21949,1965.135436241611,394.64087248322153,7080.951798505298
21950,1965.135436241611,402.6945637583893,7065.213367810219
21951,1965.135436241611,410.7482550335571,7049.623178015481
21952,1965.135436241611,418.80194630872484,7034.174104428263
21953,1965.135436241611,426.85563758389264,7018.859509613382
21954,1965.135436241611,434.90932885906045,7003.673216397288
21955,1965.135436241611,442.9630201342282,6988.609482738742
21956,1965.135436241611,451.016711409396,6973.662978075758
21957,1965.135436241611,459.0704026845638,6958.828760813806
21958,1965.135436241611,467.12409395973157,6944.10225667242
21959,1965.135436241611,475.1777852348994,6929.479237656294
21960,1965.135436241611,483.2314765100672,6914.955801463124
21961,1965.135436241611,491.28516778523493,6900.528351183731
21962,1965.135436241611,499.33885906040274,6886.193575190507
21963,1965.135436241611,507.3925503355705,6871.948427147749
21964,1965.135436241611,515.4462416107383,6857.790106111859
21965,1965.135436241611,523.4999328859061,6843.7160367205815
21966,1965.135436241611,531.5536241610739,6829.723849498062
21967,1965.135436241611,539.6073154362416,6815.811361326623
21968,1965.135436241611,547.6610067114094,6801.976556156296
21969,1965.135436241611,555.7146979865772,6788.217566039531
21970,1965.135436241611,563.768389261745,6774.532652590849
21971,1965.135436241611,571.8220805369128,6760.920188979692
21972,1965.135436241611,579.8757718120805,6747.378642569288
21973,1965.135436241611,587.9294630872483,6733.906558315297
21974,1965.135436241611,595.9831543624161,6720.502543035507
21975,1965.135436241611,604.036845637584,6707.165250656054
21976,1965.135436241611,612.0905369127518,6693.89336853113
21977,1965.135436241611,620.1442281879196,6680.685604921994
21978,1965.135436241611,628.1979194630873,6667.540677707924
21979,1965.135436241611,636.2516107382551,6654.457304386847
21980,1965.135436241611,644.3053020134229,6641.434193407153
21981,1965.135436241611,652.3589932885907,6628.470036855173
21982,1965.135436241611,660.4126845637585,6615.563504505377
21983,1965.135436241611,668.4663758389262,6602.713239222723
21984,1965.135436241611,676.520067114094,6589.91785368964
21985,1965.135436241611,684.5737583892618,6577.175928413617
21986,1965.135436241611,692.6274496644296,6564.4860109561505
21987,1965.135436241611,700.6811409395974,6551.8466163097855
21988,1965.135436241611,708.7348322147652,6539.256228337713
21989,1965.135436241611,716.7885234899329,6526.7133021797345
21990,1965.135436241611,724.8422147651007,6514.216267519878
21991,1965.135436241611,732.8959060402685,6501.7635326042855
21992,1965.135436241611,740.9495973154363,6489.3534888934655
21993,1965.135436241611,749.0032885906041,6476.984516230603
21994,1965.135436241611,757.0569798657718,6464.65498840708
21995,1965.135436241611,765.1106711409396,6452.363279007914
21996,1965.135436241611,773.1643624161075,6440.107767423034
21997,1965.135436241611,781.2180536912753,6427.886844915277
21998,1965.135436241611,789.2717449664431,6415.698920642337
21999,1965.135436241611,797.3254362416108,6403.542427537532
22000,1965.135436241611,805.3791275167786,6391.415827962992
22001,1965.135436241611,813.4328187919464,6379.3176190583235
22002,1965.135436241611,821.4865100671142,6367.246337717964
22003,1965.135436241611,829.540201342282,6355.200565140931
22004,1965.135436241611,837.5938926174497,6343.178930907368
22005,1965.135436241611,845.6475838926175,6331.180116546871
22006,1965.135436241611,853.7012751677853,6319.202858574087
22007,1965.135436241611,861.7549664429531,6307.245950977049
22008,1965.135436241611,869.8086577181209,6295.308247153248
22009,1965.135436241611,877.8623489932887,6283.388661297286
22010,1965.135436241611,885.9160402684564,6271.486169252043
22011,1965.135436241611,893.9697315436242,6259.599808842493
22012,1965.135436241611,902.023422818792,6247.72867971769
22013,1965.135436241611,910.0771140939598,6235.871942731822
22014,1965.135436241611,918.1308053691276,6224.028818899631
22015,1965.135436241611,926.1844966442953,6212.1985879651
22016,1965.135436241611,934.2381879194631,6200.3805866247385
22017,1965.135436241611,942.291879194631,6188.574206448626
22018,1965.135436241611,950.3455704697988,6176.77889154309
22019,1965.135436241611,958.3992617449666,6164.994135999066
22020,1965.135436241611,966.4529530201344,6153.2194811694735
22021,1965.135436241611,974.5066442953021,6141.454512817767
22022,1965.135436241611,982.5603355704699,6129.698858177918
22023,1965.135436241611,990.6140268456377,6117.952182963921
22024,1965.135436241611,998.6677181208055,6106.214188364191
22025,1965.135436241611,1006.7214093959733,6094.484608053324
22026,1965.135436241611,1014.775100671141,6082.7632052505505
22027,1965.135436241611,1022.8287919463088,6071.049769850872
22028,1965.135436241611,1030.8824832214766,6059.344115651558
22029,1965.135436241611,1038.9361744966443,6047.64607769331
22030,1965.135436241611,1046.9898657718122,6035.955509732041
22031,1965.135436241611,1055.04355704698,6024.272281854033
22032,1965.135436241611,1063.0972483221478,6012.596278244212
22033,1965.135436241611,1071.1509395973155,6000.9273951142695
22034,1965.135436241611,1079.2046308724832,5989.265538794822
22035,1965.135436241611,1087.2583221476511,5977.610623993207
22036,1965.135436241611,1095.3120134228188,5965.962572216433
22037,1965.135436241611,1103.3657046979868,5954.321310356709
22038,1965.135436241611,1111.4193959731545,5942.686769435386
22039,1965.135436241611,1119.4730872483221,5931.058883499641
22040,1965.135436241611,1127.52677852349,5919.437588664988
22041,1965.135436241611,1135.5804697986578,5907.822822295841
22042,1965.135436241611,1143.6341610738257,5896.214522315485
22043,1965.135436241611,1151.6878523489934,5884.612626636353
22044,1965.135436241611,1159.741543624161,5873.017072701141
22045,1965.135436241611,1167.795234899329,5861.427797125129
22046,1965.135436241611,1175.8489261744967,5849.844735430004
22047,1965.135436241611,1183.9026174496646,5838.267821859727
22048,1965.135436241611,1191.9563087248323,5826.696989269053
22049,1965.135436241611,1200.01,5815.13216907579
22050,1976.723624161074,0.01,12254.77238543179
22051,1976.723624161074,8.063691275167786,9161.108796922472
22052,1976.723624161074,16.117382550335574,8836.534513930039
22053,1976.723624161074,24.17107382550336,8644.514168930506
22054,1976.723624161074,32.22476510067114,8506.779381572755
22055,1976.723624161074,40.27845637583893,8398.785466220716
22056,1976.723624161074,48.332147651006714,8309.596330016808
22057,1976.723624161074,56.3858389261745,8233.377292696508
22058,1976.723624161074,64.4395302013423,8166.645135529757
22059,1976.723624161074,72.49322147651007,8107.15288844963
22060,1976.723624161074,80.54691275167787,8053.366202270759
22061,1976.723624161074,88.60060402684566,8004.190596657944
22062,1976.723624161074,96.65429530201344,7958.817878702624
22063,1976.723624161074,104.70798657718122,7916.634241699522
22064,1976.723624161074,112.76167785234901,7877.162516055144
22065,1976.723624161074,120.8153691275168,7840.024390542159
22066,1976.723624161074,128.86906040268457,7804.914850077562
22067,1976.723624161074,136.92275167785235,7771.584375996062
22068,1976.723624161074,144.97644295302013,7739.826241253322
