,V,T,U
40337,1.1648479353760808,876.5438554216869,3309247.3922833595
40338,1.1648479353760808,883.4781526104418,3321340.700328593
40339,1.1648479353760808,890.4124497991968,3333468.017933424
40340,1.1648479353760808,897.346746987952,3345629.3807112044
40341,1.1648479353760808,904.2810441767069,3357824.820766351
40342,1.1648479353760808,911.2153413654619,3370054.366664752
40343,1.1648479353760808,918.1496385542168,3382318.0434089038
40344,1.1648479353760808,925.083935742972,3394615.872417754
40345,1.1648479353760808,932.018232931727,3406947.87151113
40346,1.1648479353760808,938.9525301204819,3419314.0548986574
40347,1.1648479353760808,945.8868273092371,3431714.4331730865
40348,1.1648479353760808,952.8211244979921,3444149.0133078597
40349,1.1648479353760808,959.755421686747,3456617.7986588376
40350,1.1648479353760808,966.6897188755022,3469120.788970015
40351,1.1648479353760808,973.6240160642571,3481657.9803831005
40352,1.1648479353760808,980.5583132530121,3494229.3654508106
40353,1.1648479353760808,987.492610441767,3506834.9331537345
40354,1.1648479353760808,994.4269076305222,3519474.6689205975
40355,1.1648479353760808,1001.3612048192772,3532148.5546517964
40356,1.1648479353760808,1008.2955020080321,3544856.5687460373
40357,1.1648479353760808,1015.2297991967873,3557598.686129911
40358,1.1648479353760808,1022.1640963855423,3570374.878290278
40359,1.1648479353760808,1029.0983935742972,3583185.113309279
40360,1.1648479353760808,1036.0326907630522,3596029.3559018504
40361,1.1648479353760808,1042.9669879518074,3608907.567455557
40362,1.1648479353760808,1049.9012851405623,3621819.7060726318
40363,1.1648479353760808,1056.8355823293173,3634765.7266140473
40364,1.1648479353760808,1063.7698795180725,3647745.5807455005
40365,1.1648479353760808,1070.7041767068274,3660759.2169851493
40366,1.1648479353760808,1077.6384738955824,3673806.5807529804
40367,1.1648479353760808,1084.5727710843375,3686887.6144216754
40368,1.1648479353760808,1091.5070682730925,3700002.257368835
40369,1.1648479353760808,1098.4413654618475,3713150.446030457
40370,1.1648479353760808,1105.3756626506024,3726332.1139555224
40371,1.1648479353760808,1112.3099598393576,3739547.1918615983
40372,1.1648479353760808,1119.2442570281125,3752795.607691328
