,T,P,S
14368,682.3835341365462,8.112444728826333,3112.6225133796547
14369,682.3835341365462,8.152605266510879,3110.6229545606548
14370,682.3835341365462,8.192765804195425,3108.6309534491534
14371,682.3835341365462,8.23292634187997,3106.6464417772304
14372,682.3835341365462,8.273086879564516,3104.669352245386
14373,682.3835341365462,8.313247417249062,3102.699618503939
14374,682.3835341365462,8.353407954933607,3100.7371751348587
14375,682.3835341365462,8.393568492618154,3098.781957634039
14376,682.3835341365462,8.433729030302702,3096.833902393997
14377,682.3835341365462,8.473889567987248,3094.8929466869818
14378,682.3835341365462,8.514050105671792,3092.959028648492
14379,682.3835341365462,8.554210643356338,3091.0320872611546
14380,682.3835341365462,8.594371181040886,3089.112062339028
14381,682.3835341365462,8.634531718725432,3087.1988945122175
14382,682.3835341365462,8.674692256409978,3085.2925252118966
14383,682.3835341365462,8.714852794094524,3083.392896655643
14384,682.3835341365462,8.755013331779072,3081.4999518331206
14385,682.3835341365462,8.795173869463618,3079.613634492102
14386,682.3835341365462,8.835334407148162,3077.733889124778
14387,682.3835341365462,8.875494944832708,3075.8606609544267
14388,682.3835341365462,8.915655482517256,3073.9938959223273
14389,682.3835341365462,8.955816020201802,3072.1335406750136
14390,682.3835341365462,8.995976557886348,3070.2795425517893
14391,682.3835341365462,9.036137095570894,3068.4318495725206
14392,682.3835341365462,9.07629763325544,3066.5904104257193
14393,682.3835341365462,9.116458170939985,3064.7551744568527
14394,682.3835341365462,9.156618708624531,3062.926091656955
14395,682.3835341365462,9.19677924630908,3061.1031126514554
14396,682.3835341365462,9.236939783993625,3059.2861886892574
14397,682.3835341365462,9.27710032167817,3057.475271632051
14398,682.3835341365462,9.317260859362715,3055.6703139438696
14399,682.3835341365462,9.357421397047263,3053.871268680866
14400,682.3835341365462,9.397581934731809,3052.078089481285
14401,682.3835341365462,9.437742472416355,3050.2907305556796
14402,682.3835341365462,9.477903010100901,3048.5091466773174
14403,682.3835341365462,9.518063547785447,3046.7332931728074
14404,682.3835341365462,9.558224085469993,3044.9631259128814
14405,682.3835341365462,9.598384623154539,3043.198601303427
14406,682.3835341365462,9.638545160839087,3041.4396762766623
14407,682.3835341365462,9.678705698523633,3039.6863082825002
14408,682.3835341365462,9.718866236208179,3037.938455280123
14409,682.3835341365462,9.759026773892723,3036.196075729679
14410,682.3835341365462,9.79918731157727,3034.459128584195
14411,682.3835341365462,9.839347849261816,3032.72757328163
14412,682.3835341365462,9.879508386946362,3031.0013697370955
14413,682.3835341365462,9.919668924630908,3029.280478335223
14414,682.3835341365462,9.959829462315456,3027.5648599227084
14415,682.3835341365462,9.999990000000002,3025.854475800984
14416,689.3178313253013,0.04017665423255512,6824.881076439603
14417,689.3178313253013,0.08033719191710129,6428.590831390113
