,P,T,U
2523,252525709.77126533,674.3985858585859,1496738.581307227
2524,252525709.77126533,691.8393939393941,1561817.5600371896
2525,252525709.77126533,709.2802020202021,1626834.9099558694
2526,252525709.77126533,726.7210101010103,1691772.6391851436
2527,252525709.77126533,744.1618181818183,1756610.7728515137
2528,252525709.77126533,761.6026262626264,1821327.079720703
2529,252525709.77126533,779.0434343434345,1885896.664585747
2530,252525709.77126533,796.4842424242424,1950291.4839210995
2531,252525709.77126533,813.9250505050506,2014479.8560441833
2532,252525709.77126533,831.3658585858586,2078426.0847510449
2533,252525709.77126533,848.8066666666668,2142090.3324534455
2534,252525709.77126533,866.2474747474748,2205428.871630927
2535,252525709.77126533,883.688282828283,2268394.802097714
2536,252525709.77126533,901.129090909091,2330939.249191953
2537,252525709.77126533,918.569898989899,2393012.969759176
2538,252525709.77126533,936.0107070707072,2454568.2126033045
2539,252525709.77126533,953.4515151515152,2515560.6319237207
2540,252525709.77126533,970.8923232323234,2575951.0308367377
2541,252525709.77126533,988.3331313131314,2635706.787116536
2542,252525709.77126533,1005.7739393939396,2694802.7848694823
2543,252525709.77126533,1023.2147474747476,2753221.8561758744
2544,252525709.77126533,1040.6555555555556,2810954.7301696767
2545,252525709.77126533,1058.0963636363638,2867999.5823461744
2546,252525709.77126533,1075.5371717171718,2924361.300486136
2547,252525709.77126533,1092.97797979798,2980050.5873357444
2548,252525709.77126533,1110.418787878788,3035083.002865339
2549,252525709.77126533,1127.8595959595962,3089478.0218382403
2550,252525709.77126533,1145.3004040404041,3143258.1551413937
2551,252525709.77126533,1162.7412121212124,3196448.161168719
2552,252525709.77126533,1180.1820202020203,3249074.3579033474
2553,252525709.77126533,1197.6228282828283,3301164.0363777257
2554,252525709.77126533,1215.0636363636365,3352744.970356124
2555,252525709.77126533,1232.5044444444445,3403845.013972072
2556,252525709.77126533,1249.9452525252527,3454491.7776489165
2557,252525709.77126533,1267.3860606060607,3504712.3722797795
2558,252525709.77126533,1284.826868686869,3554533.2119329544
2559,252525709.77126533,1302.267676767677,3603979.8660164084
2560,252525709.77126533,1319.7084848484849,3653076.952704404
2561,252525709.77126533,1337.149292929293,3701848.0663800873
2562,252525709.77126533,1354.590101010101,3750315.732800276
2563,252525709.77126533,1372.0309090909093,3798501.3865920855
2564,252525709.77126533,1389.4717171717173,3846425.3665172253
2565,252525709.77126533,1406.9125252525253,3894106.9246760015
2566,252525709.77126533,1424.3533333333335,3941564.2464667703
