Date,Time,KW
42168.00,0.02,2553.60
42168.00,0.03,2553.60
42168.00,0.04,2553.60
42168.00,0.05,2587.20
42168.00,0.06,2520.00
42168.00,0.07,2520.00
42168.00,0.08,2419.20
42168.00,0.09,2452.80
42168.00,0.10,2452.80
42168.00,0.11,2452.80
42168.00,0.12,2385.60
42168.00,0.14,2352.00
42168.00,0.15,2419.20
42168.00,0.16,2452.80
42168.00,0.17,2486.40
42168.00,0.18,2452.80
42168.00,0.19,2553.60
42168.00,0.20,2620.80
42168.00,0.21,2721.60
42168.00,0.22,2788.80
42168.00,0.23,2822.40
42168.00,0.24,2822.40
42168.00,0.25,2788.80
42168.00,0.26,2788.80
42168.00,0.27,2788.80
42168.00,0.28,2755.20
42168.00,0.29,2721.60
42168.00,0.30,2755.20
42168.00,0.31,2721.60
42168.00,0.32,2688.00
42168.00,0.33,2721.60
42168.00,0.34,2788.80
42168.00,0.35,2755.20
42168.00,0.36,2721.60
42168.00,0.37,2755.20
42168.00,0.39,2721.60
42168.00,0.40,2688.00
42168.00,0.41,2755.20
42168.00,0.42,2822.40
42168.00,0.43,2788.80
42168.00,0.44,2755.20
42168.00,0.45,2788.80
42168.00,0.46,2856.00
42168.00,0.47,2788.80
42168.00,0.48,2822.40
42168.00,0.49,2856.00
42168.00,0.50,2822.40
42168.00,0.51,2755.20
42168.00,0.52,2822.40
42168.00,0.53,2755.20
42168.00,0.54,2755.20
42168.00,0.55,2755.20
42168.00,0.56,2721.60
42168.00,0.57,2688.00
42168.00,0.58,2688.00
42168.00,0.59,2654.40
42168.00,0.60,2654.40
42168.00,0.61,2654.40
42168.00,0.62,2654.40
42168.00,0.64,2654.40
42168.00,0.65,2620.80
42168.00,0.66,2654.40
42168.00,0.67,2654.40
42168.00,0.68,2654.40
42168.00,0.69,2620.80
42168.00,0.70,2654.40
42168.00,0.71,2654.40
42168.00,0.72,2620.80
42168.00,0.73,2654.40
42168.00,0.74,2688.00
42168.00,0.75,2688.00
42168.00,0.76,2620.80
42168.00,0.77,2654.40
42168.00,0.78,2688.00
42168.00,0.79,2654.40
42168.00,0.80,2688.00
42168.00,0.81,2620.80
42168.00,0.82,2553.60
42168.00,0.83,2520.00
42168.00,0.84,2419.20
42168.00,0.85,2419.20
42168.00,0.86,2385.60
42168.00,0.87,2318.40
42168.00,0.89,2284.80
42168.00,0.90,2251.20
42168.00,0.91,2184.00
42168.00,0.92,2184.00
42168.00,0.93,2184.00
42168.00,0.94,2217.60
42168.00,0.95,2184.00
42168.00,0.96,2184.00
42168.00,0.97,2217.60
42168.00,0.98,2184.00
42168.00,0.99,2217.60
42168.00,1.00,2150.40
42169.00,0.01,2184.00
42169.00,0.02,2184.00
42169.00,0.03,2217.60
42169.00,0.04,2184.00
42169.00,0.05,2150.40
42169.00,0.06,2184.00
42169.00,0.07,2217.60
42169.00,0.08,2184.00
42169.00,0.09,2184.00
42169.00,0.10,2150.40
42169.00,0.11,2150.40
42169.00,0.12,2150.40
42169.00,0.14,2150.40
42169.00,0.15,2083.20
42169.00,0.16,2116.80
42169.00,0.17,2150.40
42169.00,0.18,2150.40
42169.00,0.19,2083.20
42169.00,0.20,2083.20
42169.00,0.21,2083.20
42169.00,0.22,2116.80
42169.00,0.23,2083.20
42169.00,0.24,2083.20
42169.00,0.25,2150.40
42169.00,0.26,2116.80
42169.00,0.27,2116.80
42169.00,0.28,2083.20
42169.00,0.29,2083.20
42169.00,0.30,2150.40
42169.00,0.31,2150.40
42169.00,0.32,2116.80
42169.00,0.33,2150.40
42169.00,0.34,2150.40
42169.00,0.35,2217.60
42169.00,0.36,2217.60
42169.00,0.37,2217.60
42169.00,0.39,2251.20
42169.00,0.40,2284.80
42169.00,0.41,2284.80
42169.00,0.42,2217.60
42169.00,0.43,2251.20
42169.00,0.44,2284.80
42169.00,0.45,2284.80
42169.00,0.46,2284.80
42169.00,0.47,2284.80
42169.00,0.48,2284.80
42169.00,0.49,2284.80
42169.00,0.50,2284.80
42169.00,0.51,2251.20
42169.00,0.52,2284.80
42169.00,0.53,2284.80
42169.00,0.54,2284.80
42169.00,0.55,2217.60
42169.00,0.56,2251.20
42169.00,0.57,2352.00
42169.00,0.58,2318.40
42169.00,0.59,2352.00
42169.00,0.60,2352.00
42169.00,0.61,2318.40
42169.00,0.62,2318.40
42169.00,0.64,2251.20
42169.00,0.65,2251.20
42169.00,0.66,2251.20
42169.00,0.67,2284.80
42169.00,0.68,2284.80
42169.00,0.69,2352.00
42169.00,0.70,2318.40
42169.00,0.71,2385.60
42169.00,0.72,2318.40
42169.00,0.73,2318.40
42169.00,0.74,2352.00
42169.00,0.75,2284.80
42169.00,0.76,2251.20
42169.00,0.77,2251.20
42169.00,0.78,2284.80
42169.00,0.79,2284.80
42169.00,0.80,2284.80
42169.00,0.81,2284.80
42169.00,0.82,2318.40
42169.00,0.83,2284.80
42169.00,0.84,2251.20
42169.00,0.85,2284.80
42169.00,0.86,2284.80
42169.00,0.87,2452.80
42169.00,0.89,2553.60
42169.00,0.90,2688.00
42169.00,0.91,2822.40
42169.00,0.92,2889.60
42169.00,0.93,2956.80
42169.00,0.94,2990.40
42169.00,0.95,3124.80
42169.00,0.96,3158.40
42169.00,0.97,3124.80
42169.00,0.98,3124.80
42169.00,0.99,3124.80
42169.00,1.00,3091.20
42170.00,0.01,3091.20
42170.00,0.02,3024.00
42170.00,0.03,3057.60
42170.00,0.04,3057.60
42170.00,0.05,3124.80
42170.00,0.06,3124.80
42170.00,0.07,3091.20
42170.00,0.08,3192.00
42170.00,0.09,3124.80
42170.00,0.10,3024.00
42170.00,0.11,3124.80
42170.00,0.12,3057.60
42170.00,0.14,3091.20
42170.00,0.15,3192.00
42170.00,0.16,3158.40
42170.00,0.17,3192.00
42170.00,0.18,3259.20
42170.00,0.19,3259.20
42170.00,0.20,3225.60
42170.00,0.21,3225.60
42170.00,0.22,3292.80
42170.00,0.23,3427.20
42170.00,0.24,3528.00
42170.00,0.25,3561.60
42170.00,0.26,3628.80
42170.00,0.27,3696.00
42170.00,0.28,3729.60
42170.00,0.29,3729.60
42170.00,0.30,3864.00
42170.00,0.31,3763.20
42170.00,0.32,3763.20
42170.00,0.33,3796.80
42170.00,0.34,3763.20
42170.00,0.35,3796.80
42170.00,0.36,3897.60
42170.00,0.37,3729.60
